epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1835,0.48138,2.60477,1.1657,0.53027,0.6395,0.6114,0.41323,1.05659,2.19006,1.49275,0.000254817,0.000254817,0.000254817
2,177.705,0.44515,1.47852,1.13818,0.58702,0.67884,0.68155,0.47523,0.94093,1.98144,1.33837,0.000460546,0.000460546,0.000460546
3,279.028,0.43106,1.25983,1.12444,0.74297,0.69098,0.713,0.54758,0.80236,1.84294,1.06195,0.000615522,0.000615522,0.000615522
4,369.745,0.40711,1.12796,1.11723,0.7686,0.70673,0.78212,0.60513,0.78392,1.42545,1.03686,0.000540607,0.000540607,0.000540607
5,464.798,0.38863,0.95468,1.10033,0.66452,0.73875,0.73293,0.55197,0.84085,1.41728,1.07694,0.000464476,0.000464476,0.000464476
6,556.033,0.35306,0.86578,1.06957,0.73742,0.72937,0.76461,0.60125,0.7444,1.20851,1.02407,0.000388345,0.000388345,0.000388345
7,666.092,0.32902,0.75686,1.06857,0.77161,0.79577,0.81786,0.66624,0.68609,1.14577,0.95326,0.000312214,0.000312214,0.000312214
8,776.522,0.31549,0.69441,1.05404,0.78256,0.76288,0.81934,0.63399,0.74334,1.10885,1.00594,0.000236083,0.000236083,0.000236083
9,891.363,0.29159,0.60161,1.04815,0.74101,0.79282,0.78439,0.61759,0.71855,1.21329,1.00924,0.000159952,0.000159952,0.000159952
10,1009.84,0.28337,0.5604,1.04278,0.85379,0.80593,0.85713,0.68805,0.68548,1.02427,0.99003,8.3821e-05,8.3821e-05,8.3821e-05
